评论时间,处理内容,评论者IP归属地,评论内容,用户地理位置,评论者性别
23年04月15日 15:34,觉醒,来自广东,觉醒,其他,男
23年04月15日 15:18,"<a href=/n/早起不困难Fin usercard=""name=@早起不困难Fin"">@早起不困难Fin</a> <img alt=""[揣手]"" title=""[揣手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/af/2022_chuaishou_org.png"" />",来自浙江,@早起不困难Fin [揣手],上海 浦东新区,女
23年04月16日 15:34,"我听到你这么小讲这么好的英语，我才焦虑<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自浙江,我听到你这么小讲这么好的英语，我才焦虑[允悲],其他,男
23年04月15日 17:46,摆拍？脚本？小学生会知道翻墙注册？,来自湖南,摆拍？脚本？小学生会知道翻墙注册？,湖南 长沙,男
23年04月15日 17:19,适应力强,来自浙江,适应力强,广东,男
23年04月15日 16:34,"聪明的孩子<img alt=""[鲜花]"" title=""[鲜花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/d4/2018new_xianhua_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" />祖国的花朵希望自己能够好好看看我们喜欢的东西<img alt=""[握手]"" title=""[握手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e9/2018new_woshou_org.png"" /><img alt=""[握手]"" title=""[握手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e9/2018new_woshou_org.png"" /><img alt=""[握手]"" title=""[握手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e9/2018new_woshou_org.png"" /><img alt=""[握手]"" title=""[握手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e9/2018new_woshou_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" />",来自湖北,聪明的孩子[鲜花][赞]祖国的花朵希望自己能够好好看看我们喜欢的东西[握手][握手][握手][握手][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞],湖北,男
23年04月15日 16:32,我滴妈，早了,来自黑龙江,我滴妈，早了,其他,男
23年04月15日 16:05," <a href=""//s.weibo.com/weibo?q=%23%E5%B0%8F%E5%AD%A6%E5%A5%B3%E7%94%9F%E5%9B%A0AI%E4%BA%A7%E7%94%9F%E5%B0%B1%E4%B8%9A%E7%84%A6%E8%99%91%23"" target=""_blank"">#小学女生因AI产生就业焦虑#</a>生活竞争真的好厉害，连小学生都焦虑了",来自山东, #小学女生因AI产生就业焦虑#生活竞争真的好厉害，连小学生都焦虑了,湖北 十堰,男
23年04月15日 15:47,"为啥还没长大就想着以后要打工的事了<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />，小朋友珍惜你的小时候，长大了有没完没了的班要你上的",来自安徽,为啥还没长大就想着以后要打工的事了[允悲]，小朋友珍惜你的小时候，长大了有没完没了的班要你上的,安徽 安庆,女
23年04月15日 15:39,"<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自四川,[允悲],四川 成都,女
23年04月15日 15:09,这个问题我很早就跟孩子讨论过了 我们这一代是人之间的竞争 他们这一代还要跟机器竞争上岗 压力不小 所以现在必须更努力,来自上海,这个问题我很早就跟孩子讨论过了 我们这一代是人之间的竞争 他们这一代还要跟机器竞争上岗 压力不小 所以现在必须更努力,上海,女
23年04月15日 14:01,打卡,来自北京,打卡,北京,男
23年04月17日 12:03,到时候就不需要那么多人了，只要一小群精英就足够了，其它的该怎么处理呢？,来自广东,到时候就不需要那么多人了，只要一小群精英就足够了，其它的该怎么处理呢？,广东,男
23年04月16日 14:02,"<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自北京,[允悲][允悲][允悲],北京 海淀区,女
23年04月16日 09:35,"太卷了  幸好是极少数至少是少数吧<img alt=""[晕]"" title=""[晕]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/07/2018new_yun_org.png"" />",来自四川,太卷了  幸好是极少数至少是少数吧[晕],其他,女
23年04月16日 09:05,"这种言论就是善意的欺骗吧<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />",来自浙江,这种言论就是善意的欺骗吧[二哈],北京,男
23年04月15日 21:20,然而社会需要多少人去想象呢？,来自四川,然而社会需要多少人去想象呢？,其他,男
23年04月15日 19:29,小姑娘长高了。,来自北京,小姑娘长高了。,其他,女
23年04月15日 19:20,"人工智能取代不了人类智能<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自江苏,人工智能取代不了人类智能[doge],其他,男
23年04月15日 18:56,成为al的主人，只是极少部分人的，绝大部分人压根没有那个能力的。,来自四川,成为al的主人，只是极少部分人的，绝大部分人压根没有那个能力的。,四川 成都,男
23年04月15日 18:44,"<a href=/n/黄旭豪_ usercard=""name=@黄旭豪_"">@黄旭豪_</a>",来自四川,@黄旭豪_,四川,女
23年04月15日 17:14,多么好的思维力，能想到那么远，想工作，我小学可没她那么牛,来自湖南,多么好的思维力，能想到那么远，想工作，我小学可没她那么牛,湖南 长沙,女
23年04月15日 17:10,贩卖焦虑。AI的机制和人脑的机制就不一样,来自江苏,贩卖焦虑。AI的机制和人脑的机制就不一样,其他,男
23年04月15日 16:53,来搞土木啊，ai暂时替代不了[奋斗],来自广东,来搞土木啊，ai暂时替代不了[奋斗],其他,男
23年04月15日 16:28,"趋势不可阻挡<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />！人类最后进化只剩大脑<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自辽宁,趋势不可阻挡[允悲]！人类最后进化只剩大脑[允悲],浙江 绍兴,男
23年04月15日 16:09,英语真好听,来自山东,英语真好听,山东,男
23年04月15日 16:08,"<a href=/n/爱喝黑米粥_ usercard=""name=@爱喝黑米粥_"">@爱喝黑米粥_</a> <a href=/n/不是金刚葫芦娃_ usercard=""name=@不是金刚葫芦娃_"">@不是金刚葫芦娃_</a>",来自中国,@爱喝黑米粥_ @不是金刚葫芦娃_,江西 抚州,女
23年04月15日 16:04,"<a href=""//s.weibo.com/weibo?q=%23%E5%B0%8F%E5%AD%A6%E5%A5%B3%E7%94%9F%E5%9B%A0AI%E4%BA%A7%E7%94%9F%E5%B0%B1%E4%B8%9A%E7%84%A6%E8%99%91%23"" target=""_blank"">#小学女生因AI产生就业焦虑#</a> 反正我是没有就业焦虑的<img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" />",来自广西,#小学女生因AI产生就业焦虑# 反正我是没有就业焦虑的[嘻嘻],广西,女
23年04月15日 16:02,俄乌三国评女孩,来自天津,俄乌三国评女孩,北京 海淀区,女
23年04月15日 15:58,"<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自江苏,[允悲],江苏 无锡,女
23年04月15日 15:57,"<a href=""//s.weibo.com/weibo?q=%23%E5%B0%8F%E5%AD%A6%E5%A5%B3%E7%94%9F%E5%9B%A0AI%E4%BA%A7%E7%94%9F%E5%B0%B1%E4%B8%9A%E7%84%A6%E8%99%91%23"" target=""_blank"">#小学女生因AI产生就业焦虑#</a> 其实说实话AI真的可以淘汰一大部分人<img alt=""[苦涩]"" title=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" />",来自四川,#小学女生因AI产生就业焦虑# 其实说实话AI真的可以淘汰一大部分人[苦涩],四川,女
23年04月15日 15:55,"<a href=""//s.weibo.com/weibo?q=%23%E5%B0%8F%E5%AD%A6%E5%A5%B3%E7%94%9F%E5%9B%A0AI%E4%BA%A7%E7%94%9F%E5%B0%B1%E4%B8%9A%E7%84%A6%E8%99%91%23"" target=""_blank"">#小学女生因AI产生就业焦虑#</a> 就感觉现在越来越卷了",来自山东,#小学女生因AI产生就业焦虑# 就感觉现在越来越卷了,广东,女
23年04月15日 15:43,"<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />我更焦虑",来自广东,[允悲]我更焦虑,广东 惠州,男
23年04月15日 14:45,"是不是会像科幻小说中写的那样，人类和AI终有一战<img alt=""[偷乐]"" title=""[偷乐]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/fa/lxhtouxiao_thumb.gif"" /><img alt=""[偷乐]"" title=""[偷乐]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/fa/lxhtouxiao_thumb.gif"" /><img alt=""[偷乐]"" title=""[偷乐]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/fa/lxhtouxiao_thumb.gif"" />",来自福建,是不是会像科幻小说中写的那样，人类和AI终有一战[偷乐][偷乐][偷乐],江苏 盐城,女
23年04月15日 14:24,"<img alt=""[汗]"" title=""[汗]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/28/2018new_han_org.png"" />",来自广东,[汗],广西 柳州,女
23年04月15日 14:16,"恐慌情绪开始蔓延了<img alt=""[666]"" title=""[666]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6c/2022_666_org.png"" />",来自湖北,恐慌情绪开始蔓延了[666],湖北,女
23年04月15日 14:13,"没AI 也不一定找得到<img alt=""[笑而不语]"" title=""[笑而不语]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/2d/2018new_xiaoerbuyu_org.png"" />",来自浙江,没AI 也不一定找得到[笑而不语],其他,女
23年04月15日 14:03,"“ 成为AI的主人”这个爸爸太棒了<img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" />",来自北京,“ 成为AI的主人”这个爸爸太棒了[赞],北京,女
23年04月15日 13:57,"<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" />不至于",来自辽宁,[允悲][哈哈]不至于,其他,男
23年04月15日 16:47,人工智能技术一定会被推广的。不是焦虑的事情,来自辽宁,人工智能技术一定会被推广的。不是焦虑的事情,广东,男
23年04月15日 16:51,这种焦虑其实没有必要。即使来了，也是大势所趋，到时再说。,来自辽宁,这种焦虑其实没有必要。即使来了，也是大势所趋，到时再说。,辽宁,女
23年04月15日 16:33,现在的小学生很聪明哟，不容小觑的[奋斗],来自黑龙江,现在的小学生很聪明哟，不容小觑的[奋斗],其他,男
23年04月15日 16:54,加油！ 加油 ！,来自上海,加油！ 加油 ！,吉林 通化,男
23年04月15日 16:47,火了~c,来自上海,火了~c,上海 浦东新区,男
23年04月15日 16:45,好喜欢你,来自上海,好喜欢你,广东 潮州,女
23年04月15日 16:41,我在精神上支持你。,来自新疆,我在精神上支持你。,广东 汕尾,男
23年04月15日 16:40,第一次看到这么给力的，,来自上海,第一次看到这么给力的，,江苏 常州,男
23年04月15日 16:39,好吧。那我也捧场吧。。,来自上海,好吧。那我也捧场吧。。,上海,男
23年04月15日 16:38,很特别哎``！,来自上海,很特别哎``！,北京 东城区,男
23年04月15日 16:36,非常不错的一项技术，完美的解决了生活的便捷,来自黑龙江,非常不错的一项技术，完美的解决了生活的便捷,其他,男
23年04月15日 16:54,好内容，要分享。,来自上海,好内容，要分享。,北京 海淀区,女
23年04月15日 16:54,不错的哦，一定要赞一个,来自上海,不错的哦，一定要赞一个,北京 石景山区,男
23年04月15日 16:53,今年的好事情就是多呀,来自上海,今年的好事情就是多呀,湖南 郴州,男
23年04月15日 16:51,不赞我良心都过意不去啊,来自上海,不赞我良心都过意不去啊,浙江 宁波,男
23年04月15日 16:50,应该不错的,来自浙江,应该不错的,山西 晋城,女
23年04月15日 16:48,感觉现在很多事情确实是这样。,来自上海,感觉现在很多事情确实是这样。,北京,女
23年04月15日 16:48,这样的发展推广真是一项很不错的措施啊,来自北京,这样的发展推广真是一项很不错的措施啊,北京,女
23年04月15日 16:46,好东西，必须分享，嘻嘻,来自上海,好东西，必须分享，嘻嘻,江苏 南京,男
23年04月15日 16:44,[ali追]转发转发，转给朋友圈里了，哈哈,来自上海,[ali追]转发转发，转给朋友圈里了，哈哈,安徽 阜阳,女
23年04月15日 16:41,"<img alt=""[偷乐]"" title=""[偷乐]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/fa/lxhtouxiao_thumb.gif"" />",来自上海,[偷乐],北京,男
