评论时间,处理内容,评论者IP归属地,评论内容,用户地理位置,评论者性别,情感分析
23年04月15日 16:39,"AI这么强大，那我还能安稳的打工到领养老金吗<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />",来自广东,AI这么强大，那我还能安稳的打工到领养老金吗[泪],广东 广州,女,0.959908857
23年04月15日 16:32,转发微博,来自山东,转发微博,山东 济南,女,0.643890713
23年04月15日 16:19,为什么这么小就想工作,来自湖南,为什么这么小就想工作,湖南 长沙,女,0.782800098
23年04月15日 16:16,我的天,来自广东,我的天,其他,男,0.381217391
23年04月15日 16:10,我也焦虑，我专业就是人工智能，除非考研考的好，不然都找不到对应的工作,来自河北,我也焦虑，我专业就是人工智能，除非考研考的好，不然都找不到对应的工作,其他,女,0.905758674
23年04月15日 16:07,"<a href=""//s.weibo.com/weibo?q=%23%E5%B0%8F%E5%AD%A6%E5%A5%B3%E7%94%9F%E5%9B%A0AI%E4%BA%A7%E7%94%9F%E5%B0%B1%E4%B8%9A%E7%84%A6%E8%99%91%23"" target=""_blank"">#小学女生因AI产生就业焦虑#</a>科学发展飞速，现在的孩子压力也很大",来自山东,#小学女生因AI产生就业焦虑#科学发展飞速，现在的孩子压力也很大,河北 沧州,男,0.999821921
23年04月15日 15:42,哈哈，惨了,来自北京,哈哈，惨了,其他,男,0.666666667
23年04月15日 15:36,"<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />想象？这位家长有点异想天开嗷 作业都做不完",来自福建,[doge]想象？这位家长有点异想天开嗷 作业都做不完,其他,男,0.870558008
23年04月15日 15:34,觉醒,来自广东,觉醒,其他,男,0.5
23年04月15日 15:18,"<a href=/n/早起不困难Fin usercard=""name=@早起不困难Fin"">@早起不困难Fin</a> <img alt=""[揣手]"" title=""[揣手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/af/2022_chuaishou_org.png"" />",来自浙江,@早起不困难Fin [揣手],上海 浦东新区,女,0.776019272
23年04月16日 15:34,"我听到你这么小讲这么好的英语，我才焦虑<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自浙江,我听到你这么小讲这么好的英语，我才焦虑[允悲],其他,男,0.985214068
23年04月15日 17:46,摆拍？脚本？小学生会知道翻墙注册？,来自湖南,摆拍？脚本？小学生会知道翻墙注册？,湖南 长沙,男,0.246394087
23年04月15日 17:19,适应力强,来自浙江,适应力强,广东,男,0.817245228
23年04月15日 16:34,"聪明的孩子<img alt=""[鲜花]"" title=""[鲜花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/d4/2018new_xianhua_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" />祖国的花朵希望自己能够好好看看我们喜欢的东西<img alt=""[握手]"" title=""[握手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e9/2018new_woshou_org.png"" /><img alt=""[握手]"" title=""[握手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e9/2018new_woshou_org.png"" /><img alt=""[握手]"" title=""[握手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e9/2018new_woshou_org.png"" /><img alt=""[握手]"" title=""[握手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e9/2018new_woshou_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" />",来自湖北,聪明的孩子[鲜花][赞]祖国的花朵希望自己能够好好看看我们喜欢的东西[握手][握手][握手][握手][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞],湖北,男,1
23年04月15日 16:32,我滴妈，早了,来自黑龙江,我滴妈，早了,其他,男,0.496280951
23年04月15日 16:05," <a href=""//s.weibo.com/weibo?q=%23%E5%B0%8F%E5%AD%A6%E5%A5%B3%E7%94%9F%E5%9B%A0AI%E4%BA%A7%E7%94%9F%E5%B0%B1%E4%B8%9A%E7%84%A6%E8%99%91%23"" target=""_blank"">#小学女生因AI产生就业焦虑#</a>生活竞争真的好厉害，连小学生都焦虑了",来自山东, #小学女生因AI产生就业焦虑#生活竞争真的好厉害，连小学生都焦虑了,湖北 十堰,男,0.986541028
23年04月15日 15:47,"为啥还没长大就想着以后要打工的事了<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />，小朋友珍惜你的小时候，长大了有没完没了的班要你上的",来自安徽,为啥还没长大就想着以后要打工的事了[允悲]，小朋友珍惜你的小时候，长大了有没完没了的班要你上的,安徽 安庆,女,0.999192478
23年04月15日 15:39,"<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自四川,[允悲],四川 成都,女,0.972981727
23年04月15日 15:09,这个问题我很早就跟孩子讨论过了 我们这一代是人之间的竞争 他们这一代还要跟机器竞争上岗 压力不小 所以现在必须更努力,来自上海,这个问题我很早就跟孩子讨论过了 我们这一代是人之间的竞争 他们这一代还要跟机器竞争上岗 压力不小 所以现在必须更努力,上海,女,0.999933796
23年04月15日 14:01,打卡,来自北京,打卡,北京,男,0.5
23年04月17日 12:03,到时候就不需要那么多人了，只要一小群精英就足够了，其它的该怎么处理呢？,来自广东,到时候就不需要那么多人了，只要一小群精英就足够了，其它的该怎么处理呢？,广东,男,0.930689759
23年04月16日 14:02,"<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自北京,[允悲][允悲][允悲],北京 海淀区,女,0.999967409
23年04月16日 09:35,"太卷了  幸好是极少数至少是少数吧<img alt=""[晕]"" title=""[晕]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/07/2018new_yun_org.png"" />",来自四川,太卷了  幸好是极少数至少是少数吧[晕],其他,女,0.023000246
23年04月16日 09:05,"这种言论就是善意的欺骗吧<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />",来自浙江,这种言论就是善意的欺骗吧[二哈],北京,男,0.198138514
23年04月15日 21:20,然而社会需要多少人去想象呢？,来自四川,然而社会需要多少人去想象呢？,其他,男,0.888112597
23年04月15日 19:29,小姑娘长高了。,来自北京,小姑娘长高了。,其他,女,0.659349733
23年04月15日 19:20,"人工智能取代不了人类智能<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自江苏,人工智能取代不了人类智能[doge],其他,男,0.904146484
23年04月15日 18:56,成为al的主人，只是极少部分人的，绝大部分人压根没有那个能力的。,来自四川,成为al的主人，只是极少部分人的，绝大部分人压根没有那个能力的。,四川 成都,男,0.363127648
23年04月15日 18:44,"<a href=/n/黄旭豪_ usercard=""name=@黄旭豪_"">@黄旭豪_</a>",来自四川,@黄旭豪_,四川,女,0.689228896
23年04月15日 17:14,多么好的思维力，能想到那么远，想工作，我小学可没她那么牛,来自湖南,多么好的思维力，能想到那么远，想工作，我小学可没她那么牛,湖南 长沙,女,0.984330246
23年04月15日 17:10,贩卖焦虑。AI的机制和人脑的机制就不一样,来自江苏,贩卖焦虑。AI的机制和人脑的机制就不一样,其他,男,0.720525842
23年04月15日 16:53,来搞土木啊，ai暂时替代不了[奋斗],来自广东,来搞土木啊，ai暂时替代不了[奋斗],其他,男,0.92603359
23年04月15日 16:28,"趋势不可阻挡<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />！人类最后进化只剩大脑<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自辽宁,趋势不可阻挡[允悲]！人类最后进化只剩大脑[允悲],浙江 绍兴,男,0.999985952
23年04月15日 16:09,英语真好听,来自山东,英语真好听,山东,男,0.247748235
23年04月15日 16:08,"<a href=/n/爱喝黑米粥_ usercard=""name=@爱喝黑米粥_"">@爱喝黑米粥_</a> <a href=/n/不是金刚葫芦娃_ usercard=""name=@不是金刚葫芦娃_"">@不是金刚葫芦娃_</a>",来自中国,@爱喝黑米粥_ @不是金刚葫芦娃_,江西 抚州,女,0.988549606
23年04月15日 16:04,"<a href=""//s.weibo.com/weibo?q=%23%E5%B0%8F%E5%AD%A6%E5%A5%B3%E7%94%9F%E5%9B%A0AI%E4%BA%A7%E7%94%9F%E5%B0%B1%E4%B8%9A%E7%84%A6%E8%99%91%23"" target=""_blank"">#小学女生因AI产生就业焦虑#</a> 反正我是没有就业焦虑的<img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" />",来自广西,#小学女生因AI产生就业焦虑# 反正我是没有就业焦虑的[嘻嘻],广西,女,0.997360181
23年04月15日 16:02,俄乌三国评女孩,来自天津,俄乌三国评女孩,北京 海淀区,女,0.608984509
23年04月15日 15:58,"<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自江苏,[允悲],江苏 无锡,女,0.972981727
23年04月15日 15:57,"<a href=""//s.weibo.com/weibo?q=%23%E5%B0%8F%E5%AD%A6%E5%A5%B3%E7%94%9F%E5%9B%A0AI%E4%BA%A7%E7%94%9F%E5%B0%B1%E4%B8%9A%E7%84%A6%E8%99%91%23"" target=""_blank"">#小学女生因AI产生就业焦虑#</a> 其实说实话AI真的可以淘汰一大部分人<img alt=""[苦涩]"" title=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" />",来自四川,#小学女生因AI产生就业焦虑# 其实说实话AI真的可以淘汰一大部分人[苦涩],四川,女,0.960777792
23年04月15日 15:55,"<a href=""//s.weibo.com/weibo?q=%23%E5%B0%8F%E5%AD%A6%E5%A5%B3%E7%94%9F%E5%9B%A0AI%E4%BA%A7%E7%94%9F%E5%B0%B1%E4%B8%9A%E7%84%A6%E8%99%91%23"" target=""_blank"">#小学女生因AI产生就业焦虑#</a> 就感觉现在越来越卷了",来自山东,#小学女生因AI产生就业焦虑# 就感觉现在越来越卷了,广东,女,0.793804999
23年04月15日 15:43,"<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />我更焦虑",来自广东,[允悲]我更焦虑,广东 惠州,男,0.993170997
23年04月15日 14:45,"是不是会像科幻小说中写的那样，人类和AI终有一战<img alt=""[偷乐]"" title=""[偷乐]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/fa/lxhtouxiao_thumb.gif"" /><img alt=""[偷乐]"" title=""[偷乐]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/fa/lxhtouxiao_thumb.gif"" /><img alt=""[偷乐]"" title=""[偷乐]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/fa/lxhtouxiao_thumb.gif"" />",来自福建,是不是会像科幻小说中写的那样，人类和AI终有一战[偷乐][偷乐][偷乐],江苏 盐城,女,0.997632212
23年04月15日 14:24,"<img alt=""[汗]"" title=""[汗]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/28/2018new_han_org.png"" />",来自广东,[汗],广西 柳州,女,0.4
23年04月15日 14:16,"恐慌情绪开始蔓延了<img alt=""[666]"" title=""[666]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6c/2022_666_org.png"" />",来自湖北,恐慌情绪开始蔓延了[666],湖北,女,0.795579842
23年04月15日 14:13,"没AI 也不一定找得到<img alt=""[笑而不语]"" title=""[笑而不语]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/2d/2018new_xiaoerbuyu_org.png"" />",来自浙江,没AI 也不一定找得到[笑而不语],其他,女,0.094340216
23年04月15日 14:03,"“ 成为AI的主人”这个爸爸太棒了<img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" />",来自北京,“ 成为AI的主人”这个爸爸太棒了[赞],北京,女,0.999161655
23年04月15日 13:57,"<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" />不至于",来自辽宁,[允悲][哈哈]不至于,其他,男,0.980102146
23年04月15日 16:47,人工智能技术一定会被推广的。不是焦虑的事情,来自辽宁,人工智能技术一定会被推广的。不是焦虑的事情,广东,男,0.67943925
23年04月15日 16:51,这种焦虑其实没有必要。即使来了，也是大势所趋，到时再说。,来自辽宁,这种焦虑其实没有必要。即使来了，也是大势所趋，到时再说。,辽宁,女,0.690785018
23年04月15日 16:33,现在的小学生很聪明哟，不容小觑的[奋斗],来自黑龙江,现在的小学生很聪明哟，不容小觑的[奋斗],其他,男,0.931136923
23年04月15日 16:54,加油！ 加油 ！,来自上海,加油！ 加油 ！,吉林 通化,男,0.987842248
23年04月15日 16:47,火了~c,来自上海,火了~c,上海 浦东新区,男,0.32046085
23年04月15日 16:45,好喜欢你,来自上海,好喜欢你,广东 潮州,女,0.799729914
